Horodateur,Data della prenotazione in cui fara l'esperimento QualiaHappy:,Codice ID (ricevuto via email),Genere,Età,Quando scrivo uso la mano,"Se dovessi guardare attraverso il buco della porta per sapere chi bussa, lo farei sicuramente con l'occhio","1 - Sogno ad occhi aperti e fantastico, con una certa regolarità, sulle cose che potrebbero accadermi.",2 - Provo spesso sentimenti di tenerezza e di preoccupazione per le persone meno fortunate di me.,3 - A volte trovo difficile vedere le cose dal punto di vista di un’altra persona.,4 - A volte non mi sento particolarmente dispiaciuto/a  per le altre persone che  hanno problemi.,5 - Resto veramente coinvolto/a dagli stati d’animo dei protagonisti di un racconto.,"6 - In situazioni d’emergenza, mi sento apprensivo e a disagio.",7 - Riesco solitamente ad essere obiettivo/a quando guardo un film o una rappresentazione teatrale e raramente mi lascio coinvolgere del tutto. ,"8 - In caso di disaccordo, cerco di tenere conto del punto di vista di ognuno prima di prendere una decisione.","9 - Quando vedo qualcuno che viene sfruttato, provo sentimenti di protezione nei suoi confronti.",10 - A volte mi sento indifeso/a quando mi trovo in situazioni emotivamente coinvolgenti.,11 - Qualche volta cerco di comprendere meglio i miei amici immaginando come appaiono le cose dalla loro prospettiva.,12 - Mi accade raramente di essere coinvolto/a da un buon libro o da un bel film.,13 - Quando vedo qualcuno farsi male tendo a rimanere calmo.,14 - Le disgrazie degli altri solitamente non mi turbano molto.,"15 - Se sono sicuro di avere ragione su qualcosa, non perdo tempo ad ascoltare le ragioni degli altri. ",16 - Dopo aver visto una commedia o un film mi sento come se fossi stato uno dei protagonisti.,17 - Mi spaventa il fatto di trovarmi in situazioni che provocano tensione emotiva.,"18 - Quando vedo qualcuno che viene trattato ingiustamente, talvolta mi capita di non provare molta pietà per lui.",19 - Solitamente sono molto efficace nel far fronte alle situazioni d’emergenza.,20 - Spesso mi sento abbastanza colpito dalle cose che vedo accadere.,21 - Credo che ci siano due prospettive diverse per ogni questione e cerco di capirle entrambe.,22 - Mi descriverei come una persona dal cuore piuttosto tenero.,23 - Quando guardo un bel film riesco facilmente ad immedesimarmi nel personaggio principale.,24 - Tendo a perdere il controllo durante le emergenze.,"25 - Quando sono in contrasto con qualcuno, solitamente provo a “mettermi nei suoi panni” per un po’.","26 - Quando leggo una storia o un romanzo interessante, immagino come mi sentirei se gli avvenimenti della storia accadessero a me.","27 - Quando vedo qualcuno che in una situazione di emergenza necessita disperatamente di aiuto, vado in crisi.",28 - Prima di criticare qualcuno provo ad immaginare come mi sentirei se fossi al suo posto.,1 - Sono spesso confuso circa le emozioni che provo,2 - Mi è difficile trovare le parole giuste per esprimere i miei sentimenti,3 - Provo sensazioni fisiche che neanche i medici capiscono,4 - Riesco facilmente a descrivere i miei sentimenti,5 - Preferisco approfondire i miei problemi piuttosto che descriverli semplicemente,"6 - Quando sono sconvolto non so se sono triste, spaventato o arrabbiato",7 - Sono spesso disorientato dalle sensazioni che provo nel mio corpo,8 - Preferisco lasciare che le cose seguano il loro corso piuttosto che capire perché sono andate in quel modo,9 - Provo sentimenti che non riesco proprio a identificare,10 - E’ essenziale conoscere le proprie emozioni,11 - Mi è difficile descrivere ciò che provo per gli altri,12 - Gli altri mi chiedono di parlare più dei miei sentimenti,13 - Non capisco cosa stia accadendo dentro di me,14 - Spesso non capisco perché mi arrabbio,15 - Con le persone preferisco parlare di cose di tutti giorni piuttosto che delle loro emozioni,"16 - Preferisco vedere spettacoli leggeri, piuttosto che spettacoli a sfondo psicologico",17 -  Mi è difficile rivelare i sentimenti più profondi anche ad amici più intimi,"18 - Riesco a sentirmi vicino ad una persona, anche se ci capita di stare in silenzio",19 - Trovo che l’esame dei miei sentimenti mi serve a risolvere i miei problemi personali,20 - Cercare significati nascosti in film o commedie distoglie dal piacere dello spettacolo
15/06/2021 17:03:10,15/06/2021,210601,Femmina,28,Destra,Destro,3,4,1,2,3,1,4,5,3,1,5,1,5,1,1,1,1,1,4,5,4,4,1,4,4,1,1,4,2,2,1,4,5,1,1,1,1,5,1,1,1,1,2,1,1,5,1,1
18/06/2021 10:46:18,18/06/2021,210602,Femmina,30,Destra,Sinistro,3,4,2,4,3,4,4,4,4,4,4,2,3,2,3,3,4,2,3,4,4,4,3,3,4,4,3,4,3,2,1,3,3,3,2,3,2,4,2,4,1,2,3,2,3,4,3,2
01/07/2021 11:12:28,01/07/2021,210603,Femmina,24,Destra,Destro,5,5,2,1,5,3,2,4,5,3,4,1,3,1,2,4,3,1,3,4,4,4,5,3,4,5,2,5,2,2,1,4,3,2,1,2,1,5,2,1,1,1,2,1,2,5,4,1
22/06/2021 18:05:36,24/06/2021,210604,Femmina,26,Destra,Sinistro,4,4,3,1,5,4,2,4,4,2,2,2,3,2,2,3,4,2,2,3,3,4,3,3,2,2,2,3,3,4,1,2,4,2,4,2,4,5,4,3,5,3,2,2,5,2,4,1
21/06/2021 15:32:19,21/06/2021,210605,Femmina,35,Destra,Destro,3,5,2,5,4,4,5,4,5,2,4,1,4,1,4,2,2,1,5,4,4,4,3,5,3,4,1,4,2,2,1,4,5,2,1,1,1,5,1,1,1,1,3,1,1,4,3,1
22/06/2021 20:42:55,23/06/2021,210606,Femmina,19,Sinistra,Destro,3,4,2,2,4,3,3,3,3,4,4,2,3,3,3,3,4,2,4,4,4,5,4,3,4,5,4,4,2,2,1,3,3,3,3,2,2,4,3,2,1,3,3,1,2,3,5,2
22/06/2021 17:57:32,30/06/2021,210607,Femmina,22,Destra,Destro,3,4,2,2,4,3,2,5,4,4,4,2,3,1,2,3,1,1,4,4,4,4,3,2,4,5,2,4,1,2,1,4,4,1,1,2,1,4,2,4,2,1,3,2,2,4,1,2
16/07/2021 20:05:59,30/06/2021,210608,Femmina,21,Destra,Destro,4,3,2,4,4,3,4,4,3,4,3,2,4,4,4,3,4,4,4,2,5,2,3,2,4,4,2,4,4,4,1,2,4,2,2,4,4,4,2,4,4,4,4,2,4,3,4,4
22/06/2021 16:13:09,25/06/2021,210609,Femmina,23,Destra,Destro,3,4,2,1,4,5,2,3,4,5,4,2,3,2,2,3,4,1,3,4,3,4,4,3,4,4,2,3,2,3,2,4,4,3,2,1,2,4,2,2,3,2,3,1,2,4,4,2
25/06/2021 09:45:37,25/06/2021,210610,Femmina,22,Destra,Sinistro,5,4,4,3,3,3,3,2,5,5,2,3,2,2,5,5,2,2,5,5,3,3,4,2,2,4,2,2,2,2,1,4,5,3,1,2,1,5,2,1,1,2,2,2,2,4,5,3
22/06/2021 16:43:44,23/06/2021,210611,Femmina,22,Destra,Sinistro,4,5,1,1,5,3,2,4,5,3,4,2,4,1,2,5,1,1,4,5,5,5,5,2,4,5,2,4,1,2,2,4,4,1,1,2,1,5,1,2,1,1,2,3,1,5,5,1
22/06/2021 17:38:26,24/06/2021,210612,Femmina,22,Destra,Destro,5,2,2,2,3,4,3,4,3,4,4,1,4,2,2,2,3,1,3,3,4,3,3,2,3,4,2,3,3,3,1,3,4,1,1,2,1,4,2,2,2,1,3,3,1,3,3,2
24/06/2021 15:31:55,29/06/2021,210613,Femmina,19,Destra,Destro,4,5,1,1,5,5,3,5,5,2,5,1,3,2,2,5,3,1,3,4,4,4,5,3,4,5,2,4,1,2,5,4,4,2,2,1,3,5,2,3,2,2,2,1,1,5,5,1
24/06/2021 12:05:21,02/07/2021,210614,Femmina,28,Sinistra,Destro,4,4,2,2,4,4,2,4,4,4,4,2,3,2,2,4,4,2,4,3,4,5,4,2,3,4,3,4,2,3,1,3,4,3,2,1,2,4,3,2,2,1,3,2,5,4,3,2
02/07/2021 16:02:53,07/07/2021,210615,Femmina,31,Destra,Destro,5,4,2,4,4,5,1,3,5,5,3,1,2,1,1,3,4,2,3,4,3,5,4,3,3,4,3,3,3,3,4,3,3,3,2,2,3,5,3,1,1,3,3,3,3,3,3,1
01/07/2021 18:56:29,02/07/2021,210616,Femmina,21,Destra,Destro,4,5,2,5,3,4,1,4,5,4,4,2,3,2,1,4,3,1,4,5,1,5,4,3,4,2,2,3,4,2,1,4,2,1,2,2,2,5,1,1,2,1,1,1,1,5,5,5
01/07/2021 22:00:54,09/07/2021,210617,Femmina,23,Destra,Destro,3,4,2,1,5,5,1,5,4,5,5,1,1,1,1,4,3,1,4,5,5,3,5,3,5,5,3,5,4,1,1,5,1,1,1,3,1,5,1,1,1,1,1,1,3,5,5,1
08/07/2021 11:04:59,08/07/2021,210618,Femmina,26,Destra,Sinistro,3,3,1,1,4,4,2,5,4,3,4,2,2,2,1,2,5,4,2,3,4,5,3,2,4,3,2,5,3,4,1,3,4,5,1,3,2,5,3,2,2,1,2,3,1,4,5,2
11/07/2021 17:26:07,13/07/2021,210619,Femmina,19,Destra,Destro,5,4,3,1,4,4,2,4,5,4,3,2,3,1,4,5,3,1,3,5,3,5,5,3,3,5,2,2,1,2,1,4,2,1,1,4,1,3,2,3,1,1,1,3,4,2,4,3
10/07/2021 15:56:37,13/07/2021,210620,Femmina,22,Destra,Destro,5,4,3,1,4,4,2,5,5,3,5,1,2,2,2,3,4,1,3,4,4,5,4,4,4,5,2,4,3,2,5,3,3,4,4,2,2,4,2,1,2,4,2,1,2,5,4,1
12/07/2021 15:48:44,16/07/2021,210621,Femmina,25,Destra,Destro,5,4,2,2,4,4,2,2,4,5,4,2,3,2,5,5,4,1,3,4,4,5,5,3,3,4,4,3,2,2,1,4,3,3,2,2,1,5,2,2,1,2,3,1,4,4,4,1
10/07/2021 13:42:25,22/07/2021,210622,Femmina,24,Destra,Destro,3,4,2,2,3,4,3,5,5,3,4,3,2,1,1,2,4,1,2,3,3,4,3,3,4,3,3,4,1,1,1,2,3,1,1,4,2,5,3,1,1,1,2,2,3,3,4,4
10/07/2021 13:42:03,22/07/2021,210623,Femmina,24,Destra,Destro,4,4,2,1,3,5,2,4,5,4,4,1,1,2,2,3,5,2,2,5,4,4,3,4,4,3,4,5,3,3,3,3,4,3,4,2,3,4,2,2,4,4,2,1,2,4,4,1
13/07/2021 22:25:40,14/07/2021,210624,Femmina,25,Destra,Destro,5,5,2,2,5,5,2,4,4,5,5,2,3,2,3,5,5,1,3,4,5,5,5,3,4,5,3,5,5,4,2,2,5,5,5,2,5,5,3,2,5,3,3,3,2,2,5,1
19/07/2021 14:52:22,20/07/2021,210625,Femmina,23,Destra,Destro,3,4,2,2,5,2,3,4,4,4,4,1,4,1,3,4,5,4,4,5,4,5,4,3,4,,2,4,2,4,1,4,3,2,4,1,2,5,1,4,2,3,3,2,4,5,5,1
17/07/2021 17:22:21,20/07/2021,210626,Femmina,24,Destra,Destro,4,3,3,3,2,4,3,4,3,3,4,2,2,3,3,3,3,3,3,4,4,3,2,4,3,4,3,2,2,2,1,4,4,2,2,1,2,5,2,1,1,2,1,1,2,3,5,1
19/07/2021 12:28:12,20/07/2021,210627,Femmina,28,Destra,Destro,3,4,2,1,4,2,3,4,4,3,4,2,3,2,3,1,2,1,4,3,1,4,2,1,3,1,1,4,2,1,1,5,5,1,1,2,1,4,1,3,1,1,3,2,2,4,5,2
21/07/2021 22:49:59,22/07/2021,210628,Femmina,25,Destra,Destro,5,4,3,2,4,4,3,4,3,5,5,2,3,2,2,4,5,1,2,5,5,3,3,3,5,5,5,3,3,3,4,4,5,1,5,1,3,5,3,1,5,2,1,1,1,5,5,1
21/07/2021 18:05:34,20/06/1998,210629,Femmina,23,Destra,Destro,4,4,2,3,3,4,3,4,3,2,4,3,2,2,3,2,4,4,4,4,4,5,3,2,4,3,2,3,2,2,2,4,3,2,2,3,1,5,2,2,1,1,2,2,1,4,4,2
22/09/2021 13:00:28,23/09/2021,210630,Femmina,24,Destra,Destro,3,5,1,2,2,2,2,3,4,2,4,3,2,2,3,1,1,2,3,4,3,5,2,2,3,2,2,4,2,2,2,3,3,3,2,2,2,5,2,4,2,2,2,1,2,3,4,2
